schule,schuleLabel,koord,adresse,gründung,jedeschuleID,schulnummer,ausbildungsberufe,teil_von,besteht_aus,website
http://www.wikidata.org/entity/Q134358489,Landwirtschaftliche Schule Stuttgart-Hohenheim,Point(9.1183585 48.7241343),"Industriestr. 28, 70565 Stuttgart",,BW-04157983,,Biologisch-technischer Assistent [–]; Gartenbaufachwerker [12102630]; Florist [12202]; Gärtner Fachrichtung Garten- und Landschaftsbau [12142613]; Gärtner Fachrichtung Friedhofsgärtnerei [12132612]; Gärtner Fachrichtung Gemüsebau [12112614]; Gärtner Fachrichtung Zierpflanzenbau [12122618]; Gärtner Fachrichtung Staudengärtnerei [12122617],,,http://lsh-stuttgart.de
http://www.wikidata.org/entity/Q134358581,Kaufmännische Schule Schwäbisch Gmünd,Point(9.8277824 48.794549),"Heidenheimer Str. 1, 73529 Schwäbisch Gmünd",,BW-04100213,,Verkäufer [62102]; Bankkaufmann [72112010]; Industriekaufmann [71302]; Kaufmann für Groß- und Außenhandelsmanagement [61212]; Sozialversicherungsfachangestellter [73212]; Kaufmann für Büromanagement [71402]; Kaufmann im Einzelhandel [62102010],,,http://www.ksgd.aa.bw.schule.de
http://www.wikidata.org/entity/Q134358654,Kaufmännische Schulen I Villingen-Schwenningen,Point(8.4571665 48.053467),"Herdstr. 7, 78050 Villingen-Schwenningen",,BW-04100936,,"Verkäufer [62102]; Automobilkaufmann [62272]; Bankkaufmann [72112010]; Fachkraft für Kurier-, Express- und Postdienstleistungen [51322]; Industriekaufmann [71302]; Pharmazeutisch-kaufmännischer Angestellter [62412]; Sport- und Fitnesskaufmann [63122]; Kaufmann für Büromanagement [71402]; Kaufmann im Einzelhandel [62102010]; Verwaltungsfachangestellter [73202]",,,http://www.ks1-vs.de
http://www.wikidata.org/entity/Q134358773,Kaufmännische Schulen Hausach,Point(8.1746674 48.2836963),"Gustav-Rivinius-Platz 4, 77756 Hausach",,BW-04100729,,Verkäufer [62102]; Industriekaufmann [71302]; Kaufmann im Einzelhandel [62102010],,,http://www.ks-hausach.de
http://www.wikidata.org/entity/Q134358853,Elektronikschule Tettnang,Point(9.5971025 47.6619122),"Oberhofer Str. 25, 88069 Tettnang",,BW-04102465,,Industrieelektriker [26302]; Elektroniker für Automatisierungstechnik [26122]; Elektroniker für Geräte und Systeme [26302]; IT-Systemelektroniker [26312]; Kaufmann für IT-System-Management [43232]; Elektrotechnischer Assistent für Elektronik und Datentechnik [–]; Informationstechnischer Assistent [–]; Kaufmann für Digitalisierungsmanagement [43112]; Fachinformatiker für Anwendungsentwicklung [43412]; Fachinformatiker Digitale Vernetzung [43112]; Fachinformatiker für Systemintegration [43102]; Fachinformatiker Daten- und Prozessanalyse [43112],,,http://www.elektronikschule.de
http://www.wikidata.org/entity/Q134358912,Gewerbliche Schule Göppingen,Point(9.632992 48.702958),"Christian-Grüninger-Str. 12, 73035 Göppingen",,BW-04101230,,Zerspanungsmechaniker [24232]; Kfz-Mechatroniker [25212]; Elektroniker für Automatisierungstechnik [26122]; Fachkraft für Metalltechnik [25112]; Feinwerkmechaniker [24512]; Industriemechaniker [25102]; Konstruktionsmechaniker [24412]; Werkzeugmechaniker [24522]; Mechatroniker [26112]; Elektroniker der Fachrichtung Energie- und Gebäudetechnik [26212421]; Holzbearbeitungsmechaniker [22302]; Metallbauer [24412]; Fachinformatiker für Anwendungsentwicklung [43412]; Fachinformatiker für Systemintegration [43102],,,https://gs-gp.eu/
http://www.wikidata.org/entity/Q134358967,Gewerbliche Schulen Waldshut,Point(8.2164846 47.6265629),"Friedrichstr. 22, 79761 Waldshut-Tiengen",,BW-04102283,,"Zerspanungsmechaniker [24232]; Zahnmedizinischer Fachangestellter [81112]; Anlagenmechaniker für Sanitär-, Heizungs- und Klimatechnik [34212]; Kfz-Mechatroniker [25212]; Elektroniker für Betriebstechnik [26252310]; Elektroniker für Maschinen und Antriebstechnik [26222]; Fachkraft für Metalltechnik [25112]; Feinwerkmechaniker [24512]; Industriemechaniker [25102]; Maschinen- und Anlagenführer [25122]; Konstruktionsmechaniker [24412]; Technischer Produktdesigner [27212]; Werkzeugmechaniker [24522]; Elektroniker der Fachrichtung Energie- und Gebäudetechnik [26212421]; Zweiradmechatroniker [25252]",,,http://www.gs-wt.de
http://www.wikidata.org/entity/Q18287851,Kaufmännische Schule Tauberbischofsheim,Point(9.65608 49.62556),"Dr.-Ulrich-Straße 1, 97941 Tauberbischofsheim",1921-01-01T00:00:00Z,BW-04100286,,Verkäufer [62102]; Bankkaufmann [72112010]; Fachlagerist [51312]; Fachkraft für Lagerlogistik [51312]; Kaufmann für Büromanagement [71402]; Kaufmann im Einzelhandel [62102010]; Verwaltungsfachangestellter [73202],,,http://www.kstbb.de/
http://www.wikidata.org/entity/Q20369606,Berufsbildende Schulen I Buxtehude,Point(9.695551 53.47828),"Konopkastr. 7, 21614 Buxtehude",,NI-72370,,Zerspanungsmechaniker [24232]; Maler und Lackierer [33212]; Verkäufer [62102]; Kfz-Mechatroniker [25212]; Elektroniker für Betriebstechnik [26252310]; Elektroniker für Automatisierungstechnik [26122]; Fahrzeuglackierer [22212]; Feinwerkmechaniker [24512]; Industriemechaniker [25102]; Maschinen- und Anlagenführer [25122]; Kaufmann für Groß- und Außenhandelsmanagement [61212]; Kunststoff- und Kautschuktechnologe [22102]; Werkzeugmechaniker [24522]; Kaufmann für Büromanagement [71402]; Kaufmann im Einzelhandel [62102010]; Mechatroniker [26112]; Elektroniker der Fachrichtung Energie- und Gebäudetechnik [26212421]; Kaufmann im E-Commerce [61282]; Fachkraft Küche [29302060],,,https://bbsbux.de/
http://www.wikidata.org/entity/Q134716173,Hans-Böckler-Berufskolleg Marl/Haltern Standort Haltern am See,Point(7.1793034 51.7430044),"Weseler Straße 36, 45721 Haltern am See",,,,Zahntechniker [82542310]; Erzieher [–]; Fachangestellter für Bäderbetriebe [53142]; Kaufmännischer Assistent [–],Hans-Böckler-Berufskolleg Marl/Haltern,,https://www.hbbk-marl-haltern.de/de/hbbk/dependance.haltern/
http://www.wikidata.org/entity/Q134359007,Berufliche Schule Münsingen,Point(9.4954292 48.410528),"Bismarckstr. 19, 72525 Münsingen",1859-01-01T00:00:00Z,BW-04102520,,Landwirt [11102]; Altenpflegehelfer [–]; Pferdewirt [11302]; Pflegefachmann [–],,,http://www.bs-muensingen.de
http://www.wikidata.org/entity/Q134359040,Gewerbliche Schule Schwäbisch Gmünd,Point(9.8277824 48.794549),"Heidenheimer Str. 1, 73529 Schwäbisch Gmünd",1776-01-01T00:00:00Z,BW-04101382,,"Friseur [82312310]; Bäcker [29222310]; Zerspanungsmechaniker [24232]; Goldschmied [93522]; Fleischer [29232]; Anlagenmechaniker für Sanitär-, Heizungs- und Klimatechnik [34212]; Kfz-Mechatroniker [25212]; Fachverkäufer im Lebensmittelhandwerk (Bäckerei) [62312331]; Feinwerkmechaniker [24512]; Oberflächenbeschichter [24302]; Industriemechaniker [25102]; Karosserie- und Fahrzeugbaumechaniker [25212]; Konstruktionsmechaniker [24412]; Werkzeugmechaniker [24522]; Fachverkäufer im Lebensmittelhandwerk (Fleischerei) [62322313]; Mechatroniker [26112]; Elektroniker der Fachrichtung Energie- und Gebäudetechnik [26212421]; Zweiradmechatroniker [25252]; Metallbauer [24412]; Gießereimechaniker [24132]; Fachpraktiker für Metallbau [24412110]; Land- und Baumaschinenmechatroniker [25222]",,,http://www.gs-gd.de
