QID,schoolLabel,namedAfter
http://www.wikidata.org/entity/Q134076788,Oscar-Walcker-Schule,Oskar Walcker
http://www.wikidata.org/entity/Q134025441,Lorenz-Kaim-Schule,Lorenz Kaim
http://www.wikidata.org/entity/Q134001771,Karl-Peter-Obermaier-Schule Passau,Karl Peter Obermaier
http://www.wikidata.org/entity/Q134005639,Jakob-Preh-Schule,Jakob Preh
http://www.wikidata.org/entity/Q134082449,Johannes-Landenberger-Schule,Johannes Landenberger
http://www.wikidata.org/entity/Q133979873,Nikolaus-Lehner-Schule,Nikolaus Lehner
http://www.wikidata.org/entity/Q133934779,Engelbert-Bohn-Schule,Engelbert Bohn
http://www.wikidata.org/entity/Q133999783,Freiherr-von-Rast-Schule,Ferdinand Martin Liebmann Freiherr von Rast
http://www.wikidata.org/entity/Q134002367,Herbert-Weinberger-Schule,Herbert Weinberger
http://www.wikidata.org/entity/Q134002753,Johann-Bierwirth-Schule Memmingen,Johann Bierwirth
http://www.wikidata.org/entity/Q134066318,David-Würth-Schule,David Würth
http://www.wikidata.org/entity/Q134074374,Josef-Durler-Schule Rastatt,Josef Durler
http://www.wikidata.org/entity/Q110819500,Ludwig-Erhard-Schule Mosbach,Ludwig Erhard
http://www.wikidata.org/entity/Q1237028,Theodor-Heuss-Schule Reutlingen,Theodor Heuss
http://www.wikidata.org/entity/Q119294821,John F. Kennedy Schule Esslingen,John F. Kennedy
http://www.wikidata.org/entity/Q132168196,Mies-van-der-Rohe-Schule,Ludwig Mies van der Rohe
http://www.wikidata.org/entity/Q130894421,Albert-Schweitzer-Schule,Albert Schweitzer
http://www.wikidata.org/entity/Q117815382,Berufliches Schulzentrum „Otto Lilienthal“ Freital-Dippoldiswalde,Otto Lilienthal
http://www.wikidata.org/entity/Q130239001,Wilhelm-Schickard-Schule,Wilhelm Schickard
http://www.wikidata.org/entity/Q123417264,Werner-von-Siemens-Schule Wetzlar,Werner von Siemens
http://www.wikidata.org/entity/Q116319132,Johann-Joachim-Becher-Schule,Johann Joachim Becher
http://www.wikidata.org/entity/Q112972506,Kerschensteinerschule Reutlingen,Georg Kerschensteiner
http://www.wikidata.org/entity/Q118903380,Balthasar-Neumann-Schule I,Balthasar Neumann
http://www.wikidata.org/entity/Q105045334,Max-Taut-Schule,Max Taut
http://www.wikidata.org/entity/Q107533919,Mildred-Scheel-Schule Böblingen,Mildred Scheel
http://www.wikidata.org/entity/Q1146885,Gebhard-Müller-Schule Biberach,Gebhard Müller
http://www.wikidata.org/entity/Q128396399,Hermann-Höcherl-Schule Staatliche Berufsschule Regensburg,Hermann Höcherl
http://www.wikidata.org/entity/Q132447065,Paul-Julius-Reuter-Berufskolleg für Wirtschaft und Verwaltung der Städteregion Aachen,Paul Julius Reuter
http://www.wikidata.org/entity/Q120029490,Robert-Bosch-Schule,Robert Bosch
http://www.wikidata.org/entity/Q1223619,Dietrich-Bonhoeffer-Berufskolleg,Dietrich Bonhoeffer
http://www.wikidata.org/entity/Q105710596,Staatliche Fachschule für Sozialpädagogik - Fröbelseminar,Friedrich Fröbel
http://www.wikidata.org/entity/Q1255296,Wilhelm Wagenfeld Schule,Wilhelm Wagenfeld
http://www.wikidata.org/entity/Q115707656,Heinrich-Hübsch-Gewerbeschule,Heinrich Hübsch
http://www.wikidata.org/entity/Q121076634,Haus- und Landwirtschaftliche Berufsschule,Hilde Domin
http://www.wikidata.org/entity/Q105045330,Loschmidt-Oberschule,Johann Josef Loschmidt
http://www.wikidata.org/entity/Q126203054,Konrad-Wachsmann-Oberstufenzentrum,Konrad Wachsmann
http://www.wikidata.org/entity/Q108327134,Oscar-Tietz-Schule,Oscar Tietz
http://www.wikidata.org/entity/Q130467742,Theodor-Litt-Schule Gießen,Theodor Litt
http://www.wikidata.org/entity/Q108327070,Rahel-Hirsch-Schule,Rahel Hirsch
http://www.wikidata.org/entity/Q111745263,Kilian-von-Steiner-Schule Laupheim,Kilian von Steiner
http://www.wikidata.org/entity/Q123176982,Max-Bill-Schule,Max Bill
http://www.wikidata.org/entity/Q108294348,Kaufmännisches Berufskolleg Walther Rathenau,Walther Rathenau
http://www.wikidata.org/entity/Q132447064,Käthe-Kollwitz-Schule Berufskolleg der Städteregion Aachen,Käthe Kollwitz
http://www.wikidata.org/entity/Q131841060,Klingerschule,Friedrich Maximilian Klinger
http://www.wikidata.org/entity/Q130601232,Vinzenz-von-Paul-Berufskolleg,Vinzenz von Paul
http://www.wikidata.org/entity/Q115401000,Carl-Gotthard-Langhans-Schule,Carl Gotthard Langhans
http://www.wikidata.org/entity/Q118205831,Heinrich-Büssing-Schule,Heinrich Büssing
http://www.wikidata.org/entity/Q111132752,Augusta-Bender-Schule Mosbach,Augusta Bender
http://www.wikidata.org/entity/Q1247526,Valckenburgschule Ulm,Johan van Valckenburgh
http://www.wikidata.org/entity/Q112972504,Ferdinand-von-Steinbeis-Schule Reutlingen,Ferdinand von Steinbeis
http://www.wikidata.org/entity/Q1250029,Konrad-Klepping-Berufskolleg,Konrad Klepping
http://www.wikidata.org/entity/Q112972507,Laura-Schradin-Schule,Laura Schradin
http://www.wikidata.org/entity/Q118205834,Helene-Engelbrecht-Schule,Helene Engelbrecht
http://www.wikidata.org/entity/Q1243116,Johann-Friedrich-Pierer-Schule Altenburg,Johann Friedrich Pierer
http://www.wikidata.org/entity/Q118205889,Johannes-Selenka-Schule,Johannes Selenka
http://www.wikidata.org/entity/Q118205664,Martha-Fuchs-Schule,Martha Fuchs
http://www.wikidata.org/entity/Q118206023,Otto-Bennemann-Schule,Otto Bennemann
http://www.wikidata.org/entity/Q112564,Berufsbildende Schulen IV „Dr. Otto Schlein“,Otto Josef Schlein
http://www.wikidata.org/entity/Q114697,BBS Technik Harald-Fissler-Schule Idar-Oberstein,Harald Fissler
http://www.wikidata.org/entity/Q106421197,Anna-Warburg-Schule,Anna Warburg
http://www.wikidata.org/entity/Q106255675,Berufsbildungszentrum Dr. Jürgen Ulderup,Jürgen Ulderup
http://www.wikidata.org/entity/Q1036571,Carl-Reuther-Berufskolleg  Hennef,Carl Reuther
http://www.wikidata.org/entity/Q107412755,Johann-Vießmann-Schule,Johann Vießmann
http://www.wikidata.org/entity/Q130283554,Philipp-Holzmann-Schule Frankfurt am Main,Philipp Holzmann
http://www.wikidata.org/entity/Q1281535,Wilhelm-Knapp-Schule,Wilhelm Knapp
http://www.wikidata.org/entity/Q113026388,Ludwig-Geißler-Schule,Ludwig Geißler
http://www.wikidata.org/entity/Q1287824,Eduard-Stieler-Schule,Eduard Stieler
http://www.wikidata.org/entity/Q134106582,Ludwig-Erhard-Schule Salzgitter,Ludwig Erhard
http://www.wikidata.org/entity/Q134291068,Ludwig-Erhard-Schule Neuwied,Ludwig Erhard
http://www.wikidata.org/entity/Q134355843,Ludwig-Erhard-Schule Karlsruhe,Ludwig Erhard
http://www.wikidata.org/entity/Q134357387,Ludwig-Erhard-Schule Sigmaringen,Ludwig Erhard
http://www.wikidata.org/entity/Q134087077,Helmut Schmidt Schule,Helmut Schmidt
http://www.wikidata.org/entity/Q134170188,Wilhelm-Ostwald-Schule,Wilhelm Ostwald
http://www.wikidata.org/entity/Q134125986,Comenius-Schule Freistatt,Johann Amos Comenius
http://www.wikidata.org/entity/Q134104222,Justus-von-Liebig-Schule Hannover,Justus von Liebig
http://www.wikidata.org/entity/Q134307620,Justus-von-Liebig-Schule Vechta,Justus von Liebig
http://www.wikidata.org/entity/Q134288801,Berufsbildende Schule Technik Koblenz,Carl Benz
http://www.wikidata.org/entity/Q134355761,Carl-Benz-Schule Mannheim,Carl Benz
http://www.wikidata.org/entity/Q134288728,Geschwister-Scholl-Schule (Standort Hermeskeil),Hans Scholl; Sophie Scholl
http://www.wikidata.org/entity/Q134084097,"Berufliches Schulzentrum für Technik ""August Horch""",August Horch
http://www.wikidata.org/entity/Q134313185,Werner-von-Siemens-Schule Hildesheim,Werner von Siemens
http://www.wikidata.org/entity/Q134308726,Berufsbildende Schulen Hannah Arendt,Hannah Arendt
http://www.wikidata.org/entity/Q134134817,Konrad-Zuse-Schule Berlin,Konrad Zuse
http://www.wikidata.org/entity/Q134320321,Adolf-Kolping-Schule Lohne,Adolph Kolping
http://www.wikidata.org/entity/Q134083967,Eduard-Spranger-Schule,Eduard Spranger
http://www.wikidata.org/entity/Q134288961,Berufsbildende Schule Technik I Ludwigshafen,Georg Kerschensteiner
http://www.wikidata.org/entity/Q134291031,Berufsbildende Schule Naturwissenschaften,Georg Kerschensteiner
http://www.wikidata.org/entity/Q134291292,Berufsbildende Schule Technik II Ludwigshafen,Georg Kerschensteiner
http://www.wikidata.org/entity/Q134308166,Kerschensteiner Schule der Stadt Delmenhorst,Georg Kerschensteiner
http://www.wikidata.org/entity/Q134357446,Kerschensteinerschule Stuttgart,Georg Kerschensteiner
http://www.wikidata.org/entity/Q134355826,Balthasar-Neumann-Schule II,Balthasar Neumann
http://www.wikidata.org/entity/Q134126491,August-Sander-Schule,August Sander
http://www.wikidata.org/entity/Q134105819,Albrecht-Thaer-Schule,Albrecht Daniel Thaer
http://www.wikidata.org/entity/Q134127202,Hermann-Scheer-Schule,Hermann Scheer
http://www.wikidata.org/entity/Q134136402,Knobelsdorff-Schule,Georg Wenzeslaus von Knobelsdorff
http://www.wikidata.org/entity/Q134083773,"Berufliches Schulzentrum für Technik und Wirtschaft ""Julius Weisbach""",Julius Weisbach
http://www.wikidata.org/entity/Q134127090,Hans-Litten-Schule,Hans Litten
http://www.wikidata.org/entity/Q134350677,Wessenberg-Schule,Ignaz Heinrich von Wessenberg
http://www.wikidata.org/entity/Q134126590,Carl-Legien-Schule,Carl Legien
http://www.wikidata.org/entity/Q134291139,Hildegard-von-Bingen-Schule Koblenz,Hildegard von Bingen
http://www.wikidata.org/entity/Q134287931,Nicolaus-August-Otto-Schule,Nicolaus Otto
http://www.wikidata.org/entity/Q134291103,Sophie-Scholl-Schule,Sophie Scholl
http://www.wikidata.org/entity/Q134356917,Johann-Philipp-Reis-Schule,Philipp Reis
http://www.wikidata.org/entity/Q134288674,David-Roentgen-Schule,David Roentgen
http://www.wikidata.org/entity/Q134355901,Max-Eyth-Schule Kirchheim unter Teck,Max Eyth
